Name,Address,Product,Draw,Value,Postal_Code,Latitude,Longitude
SEO MINI MART,867 EXMOUTH ST N7T-5R3 SARNIA,Lotto Max,07-Apr-2023,173957.5,N7T-5R3,42.984667,-82.378166
NEW DAY CONVENIENCE,223 CEREMONIAL DR L5R-2N3 MISSISSAUGA,Lotto 649,08-Apr-2023,166437.5,L5R-2N3,43.605064,-79.663331
MICS KWIK-WAY,225 CAUSLEY ST P0R-1B0 BLIND RIVER,Lotto Max,14-Feb-2023,165951.4,P0R-1B0,46.181952,-82.94178
STARSKY FINE FOODS INC.,3115 DUNDAS ST W L5L-3R8 MISSISSAUGA,Lotto 649,21-Jun-2023,165105.4,L5L-3R8,43.521172,-79.685912
THE DOLLAR STORE PLUS,500 MAYFAIR AVE L1G-2Y2 OSHAWA,Lightning Lotto,23-Jun-2023,164943.0,L1G-2Y2,43.921296,-78.8557053
CLOVERLEAF GROCERY,5970 HWY 11-71 P0W-1E0 EMO,Lotto 649,05-Apr-2023,160802.3,P0W-1E0,48.632704,-93.834055
ONE STOP CONVENIENCE,1194 KING ST E N3H-3P6 CAMBRIDGE,Poker Lotto All In,22-Mar-2023,156448.8,N3H-3P6,43.392015,-80.35152
THE SECOND ROOF AND LEAF,7309 WOODBINE AVE L3R-3V7 MARKHAM,Lotto 649,15-Apr-2023,154191.7,L3R-3V7,43.821577,-79.349631
CIRCLE K #1264 - SIXTH LINE,2530 SIXTH LINE L6H-6W5 OAKVILLE,Lotto 649,10-Jun-2023,139752.1,L6H-6W5,43.476371,-79.726608
GATEWAY NEWSTANDS,370 ST. CLAIR AVE W M5P-1N4 TORONTO,Lotto 649,10-Jun-2023,139752.1,M5P-1N4,43.684209,-79.415408
SUPER STAR CONVENIENCE STORE,2950 BIRCHMOUNT RD M1W-3G5 SCARBOROUGH,Poker Lotto All In,03-May-2023,137584.5,M1W-3G5,43.799761,-79.306996
INS MARKET,4025 YONGE ST M2P-2E3 NORTH YORK,Instant Top Up,03-Apr-2023,133916.6,M2P-2E3,43.744829,-79.405615
MAC'S WYANDOTTE E,7945 WYANDOTTE ST E N8S-1T1 WINDSOR,Lotto 649,05-Jul-2023,132358.2,N8S-1T1,42.333131,-82.942956
LOTTO ONE,539 GOVERNMENT ST P8N-2P6 DRYDEN,Lotto 649,17-May-2023,119170.3,P8N-2P6,49.786925,-92.821048
KESWICK VARIETY STORE,532 THE QUEENSWAY  S L4P-2E6 KESWICK,Lotto 649,06-May-2023,109927.5,L4P-2E6,44.208237,-79.467561
THE THOMASBURG STORE,4822 HIGHWAY 37 K0K-3H0 THOMASBURG,Lotto 649,06-May-2023,109927.5,K0K-3H0,44.3929341,-77.3452299
ESSO/CIRCLE K #52290,5571 YONGE ST M2N-5S4 NORTH YORK,Poker Lotto All In,28-Jun-2023,109468.6,M2N-5S4,43.778996,-79.414963
ESSO/CIRCLE K# 52614,780 BANCROFT DR L5V-2Y6 MISSISSAUGA,Lotto 649,04-Feb-2023,106700.0,L5V-2Y6,43.61624,-79.702269
ZEL,11 CUNDLES RD W L4N-1R2 BARRIE,Lotto 649,04-Feb-2023,106700.0,L4N-1R2,44.404393,-79.704511
BIG BAY POINT VARIETY,649 YONGE ST L4N-4E7 BARRIE,Lotto 649,15-Mar-2023,106665.4,L4N-4E7,44.356346,-79.644526
GIANT TIGER #202 GUELPH,183 SILVERCREEK PKY N N1H-3T2 GUELPH,Lotto 649,15-Mar-2023,106665.4,N1H-3T2,43.541533,-80.280023
BIG BEAR FOOD MART,1401 RIVER RD E N2A-3X9 KITCHENER,Lotto 649,24-Jun-2023,101801.8,N2A-3X9,43.433646,-80.427868
7-ELEVEN ERIE,327 ERIE ST N5A-2N1 STRATFORD,Encore - Ontario 49,22-Jul-2023,100000.0,N5A-2N1,43.364018,-80.988519
7-ELEVEN TECUMSEH,5124 TECUMSEH RD E N8T-1C1 WINDSOR,CROSSTRIPLER,31-3301,100000.0,N8T-1C1,42.308517,-82.963829
ASPENDOS ENERGY INC. (PETRO CANADA),8155 TORBRAM RD L6T-5C5 BRAMPTON,Encore - Daily Grand,20-Apr-2023,100000.0,L6T-5C5,43.717772,-79.683616
AVONDALE CUSHMAN,198 CUSHMAN RD L2M-6T3 ST CATHARINES,Encore - Ontario 49,25-Feb-2023,100000.0,L2M-6T3,43.18154,-79.199534
AVONDALE FIRST,456 FIRST AVE L3C-6A7 WELLAND,Encore - Ontario 49,29-Mar-2023,100000.0,L3C-6A7,43.013294,-79.259624
